codigo_oc,nombre_oc,fecha_creacion,tipo,codigo_licitacion,estado,organismo_codigo,organismo_nombre,organismo_rut,comuna,region,proveedor_codigo,proveedor_nombre,proveedor_rut,proveedor_comuna,proveedor_region,item_correlativo,codigo_categoria,categoria,codigo_producto,producto,especificacion_comprador,cantidad,unidad,moneda,precio_neto_unitario,total_linea_derivado,total_item_reportado
1001546-22-AG24,SERVICIO DE DISEÑO Y DIAGRAMACION BOLETIN 2024,2024-03-04T11:23:59.537,AG,,Aceptada,1592385,Primer Tribunal Ambiental con asiento en Antofagasta,61.999.230-k,Antofagasta,Región de Antofagasta ,1621822,MÁXIMO AGUSTÍN TRUJILLO CORREA,9.455.322-9,Viña del Mar,Región de Valparaíso ,1,82141500,"Servicios editoriales, de diseño, publicidad, gráficos y artistas / Diseño gráfico / Diseño",82141501,Servicios de diagramación y diseño gráfico,"Diseño actualizado, diagramación del Boletín de Sentencias 2024",1.0,,CLP,1285125.0,1285125.0,0.0
1000813-19-CM24,LP_ ADQUISICION DE VIVERES COMISION ALIMENTACION ,2024-01-31T12:06:09.977,CM,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1366891,SOCIEDAD COMERCIAL MORENO E HIJO LIMITADA,76.285.507-0,,,1,0,,0,CORTE SOBRECOSTILLA - SIN MARINAR BOLSA 1K UNIDAD NACIONAL XII REGION,(1465046) CORTE SOBRECOSTILLA - SIN MARINAR BOLSA 1K UNIDAD NACIONAL XII REGION,500.0,,CLP,12382.0,6191000.0,6191000.0
1000813-20-CM24,LP_ ADQUISICION DE VIVERES COMISION ALIMENTACION,2024-01-31T12:08:55.243,CM,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,34484,Alimentos San Mateo S.A.,77.274.650-4,,,1,0,,0,PULPA CERDO - SIN MARINAR BOLSA 1K UNIDAD NACIONAL XII REGION,(1473296) PULPA CERDO - SIN MARINAR BOLSA 1K UNIDAD NACIONAL XII REGION,2000.0,,CLP,5874.0,11748000.0,11748000.0
1000813-31-AG24,"LP_ADQUISICIÓN DE PRODUCTOS ELABORADOS DE CUERO, CAUCHO Y PLÁSTICO PARA SER UTILIZADOS POR LAS UNIDADES DEL CM AUSTRAL Compra ágil: 1000813-19-COT24",2024-02-07T14:26:30,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,45211,INMED DROGUERIA LTDA.,86.821.000-1,Renca,Región Metropolitana de Santiago,1,24111500,Equipamiento para manejo y estiba de materiales / Recipientes para almacenamiento / Bolsas,24111503,Bolsas de plástico,BOLSA DE BASURA 50X70CM,530.0,,CLP,289.0,153170.0,0.0
1000813-31-AG24,"LP_ADQUISICIÓN DE PRODUCTOS ELABORADOS DE CUERO, CAUCHO Y PLÁSTICO PARA SER UTILIZADOS POR LAS UNIDADES DEL CM AUSTRAL Compra ágil: 1000813-19-COT24",2024-02-07T14:26:30,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,45211,INMED DROGUERIA LTDA.,86.821.000-1,Renca,Región Metropolitana de Santiago,2,24111500,Equipamiento para manejo y estiba de materiales / Recipientes para almacenamiento / Bolsas,24111503,Bolsas de plástico,BOLSA DE BASURA 110X120CM,30.0,,CLP,2890.0,86700.0,0.0
1000813-35-CM24,LP_ADQUISICIÓN DE VÍVERES PARA PERSONAS (4214) PARA SER USADO POR LA COMISIÓN SUBSISTENCIA (RANCHO DE TROPA) UBICADO EN LA 4TA BRIACO “CHORRILLOS” ,2024-02-14T11:08:24.623,CM,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24100,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,80.186.300-0,,,1,0,,0,"JAMON CERDO SAN JORGE SANDWICH PIEZA 3,5K APROX. UNIDAD XII REGION","(2032318) JAMON CERDO SAN JORGE SANDWICH PIEZA 3,5K APROX. UNIDAD XII REGION",60.0,,CLP,13440.0,806400.0,806400.0
1000813-35-CM24,LP_ADQUISICIÓN DE VÍVERES PARA PERSONAS (4214) PARA SER USADO POR LA COMISIÓN SUBSISTENCIA (RANCHO DE TROPA) UBICADO EN LA 4TA BRIACO “CHORRILLOS” ,2024-02-14T11:08:24.623,CM,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24100,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,80.186.300-0,,,2,0,,0,SALCHICHA SAN JORGE TRADICIONAL DISPLAY 1K UNIDAD XII REGION,(1480376) SALCHICHA SAN JORGE TRADICIONAL DISPLAY 1K UNIDAD XII REGION,200.0,,CLP,3022.0,604400.0,604400.0
1000813-35-CM24,LP_ADQUISICIÓN DE VÍVERES PARA PERSONAS (4214) PARA SER USADO POR LA COMISIÓN SUBSISTENCIA (RANCHO DE TROPA) UBICADO EN LA 4TA BRIACO “CHORRILLOS” ,2024-02-14T11:08:24.623,CM,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,24100,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,80.186.300-0,,,3,0,,0,LONGANIZA SAN JORGE CERDO RECETA TRADICIONAL DISPLAY 1K UNIDAD XII REGION,(1480061) LONGANIZA SAN JORGE CERDO RECETA TRADICIONAL DISPLAY 1K UNIDAD XII REGION,200.0,,CLP,3865.0,773000.0,773000.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,1,26121500,Maquinaria para generación y distribución de energía / Alambres y cables eléctricos y electrónicos / Conductores eléctricos,26121524,Alambre aislado o forrado,"cordon de 3 x 1,5 color negro",100.0,,CLP,1150.0,115000.0,0.0
1000813-43-AG24,LP_ADQUISICIÓN DE ELEMENTOS PARA EL MANTENIMIENTO Y REPARACIÓN DE DEPENDENCIAS DE LA JAL CMA - COMPRA ÁGIL: 1000813-34-COT24,2024-02-20T08:57:38.703,AG,,Recepción Conforme,111870,DIVISION LOGISTICA DEL EJERCITO,61.999.040-4,Punta Arenas,Región de Magallanes y de la Antártica,1250286,COMERCIAL TODO ACERO SPA,76.148.754-K,Punta Arenas,Región de Magallanes y de la Antártica,2,31161500,Artículos de fabricación y producción / Artículos de ferretería / Tornillos,31161503,Clavo-tornillo,"tornillo lenteja punta broca 8 x  1/2"" caja de 100 unidades",5.0,,CLP,1500.0,7500.0,0.0
