codigo_producto,producto,moneda,n_items,n_organismos,precio_min,precio_max,precio_mediana,ratio_max_min,codigos_oc
0,"JAMON CERDO SAN JORGE SANDWICH PIEZA 3,5K APROX. UNIDAD XII REGION",CLP,125,22,211.0,18844903.0,2043.0,89312.34,1000813-35-CM24;1001546-21-CM24;1002584-115-CM24;1002772-1164-CM24;1004823-15-CM24;1028871-41-CM24;1031857-5-CM24;1037-38-CM24;1038-76-CM24;1039-56-CM24;1051765-118-CM24;1051765-122-CM24;1051765-74-CM24;1051765-86-CM24;1051765-91-CM24;1057049-1382-CM24;1057414-68-CM24;1057419-40-CM24;1057421-174-CM23;1057430-118-CM24;1057430-23-CM24;1057431-520-CM24;1057432-15-CM24;1057438-2-CM24;1057461-232-CM24;1057461-403-CM24;1057472-672-CM24;1057473-43-CM24;1057491-1232-CM24;1057492-2803-CM23
91111502,Servicios de lavandería,CLP,4,2,1639.0,66284350.0,59375950.0,40441.95,1057049-1831-SE24;1057049-1834-SE24;1057049-1913-SE24;1057491-1080-SE24
92101501,Servicios de vigilancia,CLP,3,2,6667.0,122986704.0,200000.0,18447.08,1037-16-SE24;1057049-1907-SE24
42142523,Agujas hipodérmicas,CLP,10,3,11.0,29000.0,16.0,2636.36,1057049-872-SE24;1057417-1915-SE24;1057417-2629-AG24;1057418-111-SE24
51181517,Clorhidrato de metformina,CLP,7,2,14.5,27104.0,5998.0,1869.24,1038999-16-AG24;1038999-19-AG24;1038999-31-AG24;1057384-76-SE24
80111604,Personal técnico temporal,CLP,2,2,2620.88,4839478.0,2421049.44,1846.51,1057417-2798-SE24;1057486-131-SE24
42295507,Implantes ortopédicos o alambres quirúrgicos,CLP,7,2,78000.0,50420168.0,170000.0,646.41,1057431-3317-SE23;1057431-526-SE24;1057491-1448-SE24
42311505,Vendas o vendajes para uso general,CLP,8,4,22.0,9674.0,3520.0,439.73,1002772-1137-SE24;1057461-329-SE24;1057461-389-SE24;1057472-1998-SE24;1057492-728-SE24
42171903,Cajas de medicamentos de servicios médicos de urge,CLP,52,2,161.8,60599.0,12632.5,374.53,1038999-1-SE24;1038999-18-SE24;1038999-21-SE24;1038999-22-SE24;1038999-23-SE24;1038999-24-SE24;1038999-29-AG24;1038999-3-SE24;1057384-76-SE24
42161503,Juegos de cateterización o administración de diálisis peritoneal,CLP,3,3,771.0,160000.0,1700.0,207.52,1002772-871-AG24;1057049-957-SE24;1057402-687-SE24
41116004,Reactivos de analizadores químicos,CLP,47,2,1200.0,246400.0,28260.0,205.33,1057421-106-SE24;1057421-66-SE24;1057461-419-SE24
42181708,Electrodos de parche de electrocardiografía (ECG),CLP,3,3,790.0,150000.0,133500.0,189.87,1057389-784-AG24;1057418-104-SE24;1057473-92-AG24
30201903,Unidades dentales,CLP,16,2,1100.0,177112.0,14900.0,161.01,1057417-2454-AG24;1057418-836-SE23
42293603,Sondas quirúrgicas,CLP,24,5,108.0,12940.0,445.0,119.81,1002772-1049-AG24;1057049-887-SE24;1057049-911-SE24;1057417-1734-AG24;1057417-2182-SE24;1057418-109-SE24;1057418-111-SE24;1057461-439-SE24;1057461-444-SE24;1057461-448-SE24
42132205,Guantes quirúrgicos,CLP,11,4,19.0,1690.0,210.0,88.95,1057390-82-SE24;1057418-111-SE24;1057439-1065-SE24;1057461-436-SE24
41116130,"Reactivos, soluciones o tinturas microbiológicos o",CLP,9,3,237.0,18810.0,1201.0,79.37,1057049-1343-SE24;1057049-8983-SE23;1057387-44-SE24;1057472-12279-SE23;1057472-2021-SE24
42271915,Accesorios de traqueotomía,CLP,34,2,740.0,46157.0,2560.0,62.37,1003473-718-SE24;1057439-1065-SE24
42221512,Cánulas o accesorios para catéteres intravenosos o arteriales,CLP,2,2,142.0,6372.0,3257.0,44.87,1002772-418-SE24;1057417-2609-AG24
41116011,Reactivos de analizadores microbiológicos,CLP,8,2,5396.0,223000.0,5396.0,41.33,1057417-2416-AG24;1057472-1013-SE24
85121803,Laboratorios biológicos,CLP,6,2,69903.0,2735275.0,147496.5,39.13,1057049-1963-SE24;1057417-2698-SE24
42295513,Productos quirúrgicos de barrera de tisú o de malla,CLP,5,2,12000.0,306760.0,120040.0,25.56,1057049-903-SE24;1057472-1418-SE24
42272220,Accesorios del ventilador,CLP,2,2,27000.0,631349.0,329174.5,23.38,1057049-1635-SE24;1057402-10698-SE23
42161504,Adaptadores o abrazadoras o conectores de catéter ,CLP,2,2,485.0,11117.0,5801.0,22.92,1057402-687-SE24;1057491-1536-SE24
85122201,Exámenes médicos,CLP,3,3,11030.0,247899.0,205000.0,22.47,1057417-2475-SE24;1057490-967-SE23;1057491-834-SE24
30201902,Unidades de laboratorio,CLP,18,2,6000.0,105600.0,12800.0,17.6,1057418-97-SE24;1057418-98-SE24;1057418-99-SE24;1057420-48-AG24
50111510,Carne de ave o carne fresca,CLP,10,2,590.0,9990.0,5990.0,16.93,1057389-786-SE24;1057389-787-SE24;1057490-269-SE24
42291609,Pinzas quirúrgicas,CLP,2,2,30720.0,506410.0,268565.0,16.48,1057049-357-SE24;1057417-1342-AG24
86111604,Capacitación a empleados,CLP,9,2,71610.0,1104000.0,148123.0,15.42,1057417-12085-SE23;1057432-62-CC24;1057432-63-CC24;1057432-70-CC24
78111502,"Viajes en aviones comerciales, pasajes aéreos",CLP,2,2,4860.0,69006.0,36933.0,14.2,1003-29-SE24;1005498-31-SE24
76111501,Servicios de limpieza de edificios,CLP,4,4,546219.0,7130000.0,2376050.5,13.05,1002592-87-SE21;1035-16-CC24;1046-7-AG24;1057476-1472-SE23
42131612,Batas de aislamiento o cobertura para el personal sanitario,CLP,3,3,1290.0,16500.0,3745.0,12.79,1002772-1125-SE24;1057417-2573-SE24;1057472-2024-SE24
42272011,Catéteres de succión o sus accesorios,CLP,3,3,749.0,8490.0,4800.0,11.34,1002772-1184-AG24;1057429-577-AG24;1057492-5331-SE23
42221503,Catéteres venosos centrales,CLP,3,2,18000.0,185000.0,22000.0,10.28,1057049-956-SE24;1057417-2567-AG24
42203405,Globos de Angioplastia,CLP,4,2,65000.0,599000.0,599000.0,9.22,1057049-900-SE24;1057402-1016-SE24;1057402-1017-SE24;1057402-1497-SE24
50192303,"Postres, helados o yogurt congelado",CLP,5,2,300.0,2690.0,300.0,8.97,1057389-388-SE24;1057490-269-SE24
42311526,Vendajes de apósitos,CLP,10,2,2100.0,9900.0,4862.0,4.71,1002772-1016-AG24;1002772-1096-AG24;1002772-600-AG24;1002772-971-SE24;1002772-975-SE24;1002772-976-SE24;1057491-1359-SE24
50131701,Leche o productos de mantequilla,CLP,3,2,760.0,3400.0,2990.0,4.47,1057389-388-SE24;1057490-269-SE24
42312201,Sutura,CLP,2,2,674.0,2760.0,1717.0,4.09,1002772-1128-SE24;1057418-105-SE24
14111703,Toallas de papel,CLP,2,2,540.0,1848.0,1194.0,3.42,1057402-1877-SE24;1057461-399-SE24
42192404,Carros médicos o accesorios,CLP,2,2,50000.0,168068.0,109034.0,3.36,1057049-866-AG24;1057461-87-AG24
