codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
76111501,Servicios de limpieza de edificios,39,51,58,3066223604
85122201,Exámenes médicos,34,96,185,470464584
92101501,Servicios de vigilancia,31,49,67,1160047474
50101538,Verduras frescas,24,52,522,176422465
42293603,Sondas quirúrgicas,23,43,85,32631087
43211507,Computadores de escritorio,22,29,41,883715387
41116004,Reactivos de analizadores químicos,21,55,302,322415933
42311505,Vendas o vendajes para uso general,21,45,61,39685678
50101634,Fruta fresca,21,33,295,126592352
50202301,Agua,20,21,22,30948869
73152101,Servicio de mantenimiento de equipo de fabricación,19,57,83,119345652
42312201,Sutura,19,42,149,212639849
12141904,Oxígeno O,19,35,68,128118376
50131701,Leche o productos de mantequilla,19,26,46,37336558
50181901,Pan fresco,18,27,73,98936930
14111703,Toallas de papel,18,22,28,45171337
80111715,Profesionales,17,42,50,182827020
24111503,Bolsas de plástico,17,19,51,18091081
42221512,Cánulas o accesorios para catéteres intravenosos o arteriales,15,36,69,101611690
91111901,Jardines infantiles o salas cunas,14,30,45,79859305
42142402,Cánulas o tubos de succión médicos o accesorios,14,30,49,8468520
42221503,Catéteres venosos centrales,14,25,36,73327005
30201903,Unidades dentales,14,21,175,31071767
41104107,Tubos o contenedores de almacenamiento de sangre en vacío,14,19,55,124032065
12161902,Detergentes surfactantes,14,18,20,12106662
42132205,Guantes quirúrgicos,14,16,38,74608440
14111704,Papel higiénico,14,16,17,10085072
44121701,Lápiz pasta,14,16,43,1788472
41115830,Analizadores de glucosa,14,15,19,336920878
78111808,Arriendo de vehículos,13,34,82,418153346
42221501,Catéteres de línea arterial,13,22,40,65489748
50101539,Verduras congeladas,13,21,60,10585998
82121507,Impresión de papelería o formularios comerciales,13,19,107,10886012
44122011,Carpetas para archivos,13,16,44,2967432
50181905,Galletas dulces o pastelitos,13,16,28,1838096
14111531,Libros o cuadernos de registro,13,15,39,5406602
44103103,Tóner,13,14,34,28339875
44121618,Tijeras,13,14,20,1264360
42142609,Jeringas médicas con aguja,13,14,17,12150400
42291609,Pinzas quirúrgicas,13,13,19,113289450
51191905,Suplementos vitamínicos,12,23,48,495334069
90101603,Servicios de catering,12,16,18,15308349
72131702,Construcción de obras civiles,12,16,26,2819940298
50111510,Carne de ave o carne fresca,12,16,43,114084317
42311504,Vendas o vendajes para el cuidado de quemaduras,12,14,31,26822117
43212110,Impresoras multifunción o multifuncionales,12,14,32,19122328
50161509,Productos de edulcorantes o azúcares naturales,12,14,17,2736158
72101506,Servicios de mantenimiento de ascensores,12,13,17,158665121
50112001,Carnes frescas procesadas y preparadas,12,13,37,17414477
51102707,Gluconato de clorhexidina,12,13,18,20860550
52151504,Tazas o vasos desechables domésticos,12,13,20,9429536
51191601,Dextrosa,12,12,24,17307394
80111606,Personal médico temporal,11,47,53,1247028955
42171903,Cajas de medicamentos de servicios médicos de urge,11,33,92,92278228
41116130,"Reactivos, soluciones o tinturas microbiológicos o bacteriológicos",11,25,177,158871877
41116105,Reactivos o soluciones químicos,11,24,91,86050192
42311532,Apósitos secos,11,24,33,30915534
42203403,Juegos o catéteres introductores vasculares intervencionales o diagnósticos,11,21,55,75074362
42311506,Vendas o apósitos compresores,11,18,23,78653540
42142504,Agujas de biopsia,11,16,24,16225741
85121803,Laboratorios biológicos,11,16,73,90418746
44121708,Marcadores,11,15,45,1101429
42271607,Tubos o accesorios de la función pulmonar,11,15,46,6344200
42281808,Papeles u hojas de esterilización,11,13,32,16695414
14111509,Artículos de papelería,11,13,116,10268878
26111702,Pilas alcalinas,11,12,29,4549101
14111507,Papel para fotocopiadora o impresora,11,12,18,14699019
47131805,Limpiadores de uso general,11,12,28,5839283
50131801,Queso natural,11,12,18,3852598
53131608,Jabones,11,11,13,12257737
73101701,Servicios de producción de medicamentos o medicina,10,35,53,35378938
85121901,Recetarios magistrales,10,25,71,25757249
78180103,Servicios de cambio de fluidos de aceite o de la t,10,23,27,356512585
42292904,Sutura quirúrgica o agarradores de alambre o productos relacionados,10,22,118,107117424
42131612,Batas de aislamiento o cobertura para el personal sanitario,10,22,31,52077741
43231512,Software de gestión de licencias,10,14,29,124988771
42271903,Tubos endotraquiales,10,10,17,1764880
41115807,Analizadores químicos,9,26,92,169920082
80111601,Personal administrativo temporal,9,24,24,31952444
78111802,"Servicios de autobuses regulares, recorridos fijos o servicios programados",9,22,53,389098800
42142523,Agujas hipodérmicas,9,19,41,12532909
42221504,Catéteres intravenosos periféricos para uso genera,9,15,40,52016191
30201902,Unidades de laboratorio,9,15,58,25269267
72102305,"Servicios de reparación, mantenimiento o reparació",9,13,14,15574646
31201512,Cinta Transparente,9,12,15,900944
51102710,Antisépticos basados en alcohol o acetona,9,12,19,9103363
42271708,Mascarillas de oxígeno médicas o piezas,9,12,26,8332500
50131606,Huevos frescos,9,11,11,4130381
43211503,"Notebook, laptop o computador portátil excepto Tab",9,11,13,393813586
42293505,Sondas de drenaje para la aspiración quirúrgica,9,11,12,20622400
42295513,Productos quirúrgicos de barrera de tisú o de malla,9,11,15,17055620
42311511,Vendas de gasa,9,11,20,17299674
51142121,Diclofenaco,9,10,10,1729190
93131608,Servicios de suministro de alimentos,8,17,19,751862868
42271718,Accesorios para productos de administración de oxi,8,13,23,92075872
91111502,Servicios de lavandería,8,13,14,496460805
42181708,Electrodos de parche de electrocardiografía (ECG),8,13,13,9114500
80111604,Personal técnico temporal,8,12,13,69118739
78111804,Servicios de taxi,8,11,11,95936456
51191603,Soluciones de nutrición o de nutrición parenteral ,8,11,13,96897018
44121604,Timbres y sellos,8,10,15,682873
46191601,Extintores,8,10,22,2214551
51171605,Lactulosa,8,10,11,20122974
51191602,Electrolitos de cloruro de sodio,8,10,14,77749918
42291620,Trocares quirúrgicos para uso general o accesorios,8,9,23,36666100
44121612,Cuchillos cartoneros,8,9,17,325454
12141901,Cloro Cl,8,9,10,3326954
39121402,Enchufes eléctricos,8,8,23,1251192
47131803,Desinfectantes domésticos,8,8,13,2860042
53131609,Protector solar,8,8,9,3234450
41104112,Contenedores de recogida de orina,8,8,16,5559500
44122001,Archivadores de fichas,8,8,15,1299762
44122104,Clips para papel,8,8,23,678666
42221803,"Cintas, vendaje, correas o puños para posicionar e",8,8,16,20423895
80111709,Personal médico,7,70,80,929511489
43211508,Computadores personales,7,23,25,73934669
42272209,Circuito de respiración o ventilador,7,17,18,26334408
42142502,Agujas para anestesia,7,16,30,24757430
85121902,Farmacias,7,16,26,8496010
42142902,Lentes de gafas,7,15,110,26054808
42231806,Alimento nutritivo médico o espesadores de líquido,7,14,28,48042320
47121701,Bolsas de basura,7,10,22,6912516
51181517,Clorhidrato de metformina,7,10,18,98011336
