catalogo_id,descripcion,n_organismos,n_items,precio_min,precio_mediana,precio_max,ratio_max_min,ahorro_conservador,gasto
1563916,(1563916) PAPA FRESCA - PATAGONIA INIA SEGUNDA KILO V REGION,3,5,670.0,756.0,1449.0,2.16,3104640,9378620
1471347,(1471347) PECHUGA DESHUESADA POLLO CONGELADO - MARINADO BOLSA 1K UNIDAD NACIONAL RM,3,6,4036.0,4477.0,6919.0,1.71,2210010,42732376
1470642,(1470642) PAPA FRESCA PROCESADA - ENTERA PELADA BOLSA 1 K UNIDAD RM,3,4,1540.0,2290.5,2741.0,1.78,1982200,32560400
1944439,(1944439) ESTACIÓN DE SERVICIO DIESEL REGIÓN DE LOS RÍOS DESCUENTO PESOS POR LITRO,4,4,2000000.0,2250000.0,3275453.0,1.64,1275453,9775453
1944438,(1944438) ESTACIÓN DE SERVICIO DIESEL REGIÓN METROPOLITANA DESCUENTO PESOS POR LITRO,3,4,1000000.0,1465145.0,1950000.0,1.95,950000,5880290
1472172,(1472172) PLATANO - AMARILLO KILO APROX. RM,8,15,1215.0,1504.0,1649.0,1.36,453850,11560730
1467199,(1467199) HUEVO PRIMERA 54-61 GR  - BLANCO 180 UNIDADES  V REGION,3,5,40300.0,40300.0,48552.0,1.2,272316,3979916
1455562,(1455562) LECHE EN POLVO ENTERA COLUN INSTANTANEA BOLSA 900 GR UNIDAD VIII REGION,3,4,7127.0,7267.0,7778.0,1.09,227437,9221805
1473672,(1473672) SANDIA - SANDIA MEDIANA UNIDAD RM,4,4,3511.0,3511.0,4107.0,1.17,214560,6839817
1433182,(1433182) ACEITE VEGETAL BELMONT BOTELLA 1 L UNIDAD VIII REGION,5,6,3961.0,4144.0,4250.0,1.07,179140,10808168
1563978,(1563978) PAPA FRESCA - PATAGONIA INIA PRIMERA KILO APROX RM,5,8,790.0,1230.0,2300.0,2.91,171200,6084534
1434502,(1434502) QUESILLO SOPROLE POTE 300 G UNIDAD VIII REGION,4,5,2096.0,2110.0,2282.0,1.09,153200,4365360
1454857,(1454857) ALMIDON DE MAIZ MAIZENA BOLSA 1K UNIDAD VIII REGION,4,5,4280.0,5340.0,7155.0,1.67,139755,6055315
1475472,(1475472) ZANAHORIA FRESCA - GRANEL KILO APROX. RM,6,11,738.0,740.0,830.0,1.12,124450,3911250
1931416,(1931416) DESINFECTANTE SUPERFICIES EN AEROSOL IGENIX ANTIBACTERIAL 360 ML UNIDAD REGIÓN RM,5,5,1330.0,1396.0,1486.0,1.12,87900,3194692
1461402,(1461402) BETARRAGA FRESCA - PAQUETE APROX. 1 K UNIDAD RM,6,11,577.0,619.0,733.0,1.27,73610,1257055
1474932,(1474932) UVA - BLANCA SIN PEPA KILO APROX. RM,4,5,1350.0,1495.0,1531.0,1.13,61200,3063370
1465737,(1465737) DURAZNO - PLATANO MEDIANO KILO APROX. RM,5,8,1260.0,1286.0,1423.0,1.13,54695,11994925
1884708,(1884708) GALLETA DULCE COSTA MINI CHIPS COC 35 G UNIDAD RM,4,4,217.0,231.0,289.0,1.33,53360,718500
1474962,(1474962) UVA - ROSADA SIN PEPA KILO APROX. RM,3,4,1265.0,1266.0,1443.0,1.14,53112,617614
1473867,(1473867) TOMATE FRESCO - LARGA VIDA GRANDE KILO APROX. RM,7,10,1100.0,1438.0,1592.0,1.45,44660,11536430
1564610,(1564610) ARVEJA CONGELADA INTERAGRO BOLSA 1K RM,3,5,2587.0,2591.0,2828.0,1.09,39960,3679835
1469157,(1469157) MELON - CALAMEÑO GRANDE UNIDAD RM,3,4,1269.0,1292.0,1356.0,1.07,36600,971456
1590448,(1590448) CREMA DE LECHE COLUN PARA BATIR CAJA 1 L UNIDAD VIII REGION,3,4,3776.0,3916.0,4283.0,1.13,30420,734452
1449097,(1449097) LECHE EN POLVO DESCREMADA SVELTY INSTANTANEA BOLSA 800 G UNIDAD VIII REGION,3,4,7871.0,7871.0,8591.0,1.09,23760,3691646
1468162,(1468162) LIMON FRESCO - AMARILLO KILO APROX. VIII REGION,4,4,1149.0,1219.0,1274.0,1.11,22990,2283128
1884725,(1884725) SALSA DE TOMATE CAROZZI CONCENTRADO DE TOMATE 1 KILO UNIDAD RM,4,4,2852.0,3352.5,4360.0,1.53,20330,405040
1433482,(1433482) JUGO DE LIMON TRAVERSO SUCEDANEO BOTELLA 1 L UNIDAD VIII REGION,3,4,1805.0,1945.5,2042.0,1.13,19400,1092000
1436167,(1436167) AZUCAR SACHET IANSA 5 G CAJA 800 UNIDADES VIII REGION,3,4,15873.0,18989.0,20729.0,1.31,17400,860027
1433937,(1433937) LECHE SABORIZADA SEMIDESCREMADA SOPROLE CHOCOLATE CAJA 200 ML UNIDAD RM,3,4,449.0,451.0,453.0,1.01,14920,5381920
1465954,(1465954) ESPINACA FRESCA - PAQUETE APROX. 1 K UNIDAD V REGION,3,5,965.0,965.0,994.0,1.03,14297,933942
1450732,(1450732) ARROZ TUCAPEL GRADO 1 BOLSA 1K UNIDAD VIII REGION,5,6,1157.0,1334.0,1396.0,1.21,12400,8184348
1473829,(1473829) TOMATE FRESCO - LARGA VIDA PEQUEÑO KILO APROX. V REGION,4,5,1387.0,1387.0,1445.0,1.04,11020,1456274
